[s]	label
obo:MIAGO_0000080	miR-29a targeting Ppm1d assumption
obo:MIAGO_0000251	Let-7b targeting CDK6 (human) assumption
obo:MIAGO_0000253	Let-7b targeting CDC25A (human) assumption
obo:MIAGO_0000255	Let-7b targeting CDC34 (human) assumption
obo:MIAGO_0000257	let-7b targeting Tlr7 (mouse) assumption
obo:MIAGO_0000268	miR-1 targeting Igf1 (rat) assumption
obo:MIAGO_0000272	miR-101 targeting App (rat) assumption
obo:MIAGO_0000274	miR-106b targeting ULK1 (human) assumption
obo:MIAGO_0000276	miR-106b targeting App (rat) assumption
obo:MIAGO_0000278	miR-10a targeting HOXA1 (human) assumption
obo:MIAGO_0000281	miR-10a targeting MAP3K7 (human) assumption
obo:MIAGO_0000283	miR-10a targeting BTRC (human) assumption
obo:MIAGO_0000287	miR-122 targeting TGFB1 (human) assumption
obo:MIAGO_0000293	miR-124 targeting Bace1 (rat) assumption
obo:MIAGO_0000307	miR-1248 targeting CDK2 (human) assumption
obo:MIAGO_0000311	miR-1248 targeting IL8 (human) assumption
obo:MIAGO_0000319	miR-125a-5p targeting Tead4 (mouse) assumption
obo:MIAGO_0000329	miR-126 targeting VCAM1 (human) assumption
obo:MIAGO_0000333	miR-126 targeting SPRED1 (human) assumption
obo:MIAGO_0000343	miR-126 targeting PIK3R2 (human) assumption
obo:MIAGO_0000345	miR-126 targeting IRS1 (human) assumption
obo:MIAGO_0000347	miR-126 targeting CRK (human) assumption
obo:MIAGO_0000349	miR-126 targeting TOM1 (human) assumption
obo:MIAGO_0000366	miR-128 targeting UPF1 (human) assumption
obo:MIAGO_0000368	miR-128 targeting CASC3 (human) assumption
obo:MIAGO_0000372	miR-132 targeting NFE2L2 (human) assumption
obo:MIAGO_0000374	miR-132 targeting HMOX1 (human) assumption
obo:MIAGO_0000380	miR-132 targeting Foxp2 (mouse) assumption
obo:MIAGO_0000382	miR-132 targeting Sirt1 (mouse) assumption
obo:MIAGO_0000385	miR-135a targeting Bace1 (rat) assumption
obo:MIAGO_0000390	miR-137 targeting Sptlc1 (rat) assumption
obo:MIAGO_0000403	miR-141 targeting Bace1 (rat) assumption
obo:MIAGO_0000408	miR-144 targeting NFE2L2 (human) assumption
obo:MIAGO_0000417	miR-146a targeting NOX4 (human) assumption
obo:MIAGO_0000432	miR-148a targeting Camk2a (mouse) assumption
obo:MIAGO_0000435	miR-148b targeting Camk2a (mouse) assumption
obo:MIAGO_0000438	miR-152 targeting Camk2a (mouse) assumption
obo:MIAGO_0000443	miR-153 targeting App (rat) assumption
obo:MIAGO_0000445	miR-155 targeting BACH1 (human) assumption
obo:MIAGO_0000451	miR-155 targeting AGTR1 (human) assumption
obo:MIAGO_0000458	miR-15b targeting Bace1 (rat) assumption
obo:MIAGO_0000462	miR-16 targeting Bace1 (rat) assumption
obo:MIAGO_0000468	miR-17-5p targeting App (rat) assumption
obo:MIAGO_0000470	miR-17-92 targeting Pten (mouse) assumption
obo:MIAGO_0000475	miR-181a targeting Ptpn22 (mouse) assumption
obo:MIAGO_0000477	miR-181a targeting Dusp5 (mouse) assumption
obo:MIAGO_0000479	miR-181a targeting Dusp6 (mouse) assumption
obo:MIAGO_0000481	miR-181a targeting Prox1 (mouse) assumption
obo:MIAGO_0000485	miR-181a-5p targeting IL6 (human) assumption
obo:MIAGO_0000487	miR-181a-5p targeting TNF (human) assumption
obo:MIAGO_0000489	miR-181a-5p targeting TGFB1 (human) assumption
obo:MIAGO_0000491	miR-181c targeting Sptlc1 (rat) assumption
obo:MIAGO_0000500	miR-184 targeting EZR (human) assumption
obo:MIAGO_0000506	miR-192 targeting Zeb2 (mouse) assumption
obo:MIAGO_0000508	miR-195 targeting Bace1 (rat) assumption
obo:MIAGO_0000510	miR-195 targeting SIRT1 (human) assumption
obo:MIAGO_0000514	miR-195 targeting BCL2 (human) assumption
obo:MIAGO_0000519	miR-196b targeting Ins2 (mouse) assumption
obo:MIAGO_0000531	miR-199a-5p targeting ATF6 (human) assumption
obo:MIAGO_0000533	miR-199a-5p targeting NFKB1 (human) assumption
obo:MIAGO_0000535	miR-199a-5p targeting RELA (human) assumption
obo:MIAGO_0000542	miR-19a targeting Bace1 (rat) assumption
