[label]	assay_label	pubmedID
AT1R is a target of miR-155	Western blot 292	PubMed 21310411
Addition of miR-126 specifically repressed the activity of luciferase reporters containing zebrafish spred1 3' UTR 	luciferase assay 151	PubMed 18694566
Argonaute 2 is required for miR-196b-mediated translation upregulation 	luciferase assay 386	PubMed 25003985
Argonaute 2 is required for miR-196b-mediated translation upregulation 	transfection of Ago2 siRNA 386	PubMed 25003985
BACH1 is repressed by miR-155	Western blot 286	PubMed 21982894
BACH1 is repressed by miR-155	luciferase assay 286	PubMed 21982894
CDK2 were enriched in our biotin miR-1248 pulldowns	real-time RT-PCR 80	PubMed 24088671
Cotransfection decreased the expression of the PTBP1 3'UTR-containing reporter	luciferase assays 70	PubMed 17679093
Downregulation of miR-125a-5p in OECs increases angiogenic growth factor expression	Western blot assays 92	PubMed 25059272
Downregulation of miR-125a-5p in OECs increases angiogenic growth factor expression	qRT-PCR 92	PubMed 25059272
ES cells transduced with miR-214-wt and exposed to RA displayed increased Dkk1 and nestin expression	Real-time PCR 535	PubMed 19818710
Ectopic miR-181a expression in primary LECs reduced Prox1 mRNA and protein levels	Western blot 335	PubMed 20558617
Ectopic miR-181a expression in primary LECs reduced Prox1 mRNA and protein levels	Immunostaining 335	PubMed 20558617
Efficient overexpression or inhibition of miR-214 in Ecs led to a respective four-fold reduction and 1.6-fold induction in VEGFA mRNA expression 	western blot 546	PubMed 22227154
Efficient overexpression or inhibition of miR-214 in Ecs led to a respective four-fold reduction and 1.6-fold induction in VEGFA mRNA expression 	qRT-PCR 546	PubMed 22227154
Enforced expression of miR-142-5p affects Nrf2 localization and its transactivation	luciferase assay based reporter assay 203	PubMed 23236440
Enforced expression of miR-142-5p affects Nrf2 localization and its transactivation	qRT-PCR 203	PubMed 23236440
Enforced expression of miR-142-5p affects Nrf2 localization and its transactivation	western blot 203	PubMed 23236440
Enforced expression of miR-144 affects Nrf2 localization and its transactivation	luciferase assay 216	PubMed 23236440
Enforced expression of miR-144 affects Nrf2 localization and its transactivation	qRT-PCR 216	PubMed 23236440
Enforced expression of miR-144 affects Nrf2 localization and its transactivation	western blot 216	PubMed 23236440
Enforced expression of miR-153 affects Nrf2 localization and its transactivation	luciferase assay based reporter assay 280	PubMed 23236440
Enforced expression of miR-153 affects Nrf2 localization and its transactivation	qRT-PCR 280	PubMed 23236440
Enforced expression of miR-153 affects Nrf2 localization and its transactivation	western blot 280	PubMed 23236440
Enforced expression of miR-27a affects Nrf2 localization and its transactivation	luciferase assay based reporter assay 710	PubMed 23236440
Enforced expression of miR-27a affects Nrf2 localization and its transactivation	qRT-PCR 710	PubMed 23236440
Enforced expression of miR-27a affects Nrf2 localization and its transactivation	western blot 710	PubMed 23236440
Ets-1 Is negatively regulated by MiR-200b in HMECs	real time PCR 426	PubMed 21081489
Ets-1 is a target of miR-155	luciferase assay 291	PubMed 21310411
