[label]	assay_label	pubmedID
BACE1 protein expression was reduced by miR-29b	Western blot 758	PubMed 24352696
CDCA2 significantly downregulated after miR-494 pre-miR transfection	western blot 899	PubMed 24905922
CDCA2 the reporter gene expression was significantly reduced by SAmiR-494 pre-miR transfection	luciferase assay 900	PubMed 24905922
CaMKIIa knockdown inhibits LPS-induced MHC II expression and cytokine production in DCs by miR-148a	ELISA 248	PubMed 21068402
CaMKIIa knockdown inhibits LPS-induced MHC II expression and cytokine production in DCs by miR-148a	flow cytometry 248	PubMed 21068402
CaMKIIa knockdown inhibits LPS-induced MHC II expression and cytokine production in DCs by miR-148b	ELISA 254	PubMed 21068402
CaMKIIa knockdown inhibits LPS-induced MHC II expression and cytokine production in DCs by miR-148b	flow cytometry 254	PubMed 21068402
CaMKIIa knockdown inhibits LPS-induced MHC II expression and cytokine production in DCs by miR-152	ELISA 279	PubMed 21068402
CaMKIIa knockdown inhibits LPS-induced MHC II expression and cytokine production in DCs by miR-152	flow cytometry 279	PubMed 21068402
DUSP5 protein levels are quantitatively reduced by miR-181a	Fusion luciferase assay 329	PubMed 17382377
DUSP5 protein levels are quantitatively reduced by miR-181a	western blot 329	PubMed 17382377
DUSP6 protein levels are quantitatively reduced by miR-181a	Fusion luciferase assay 330	PubMed 17382377
DUSP6 protein levels are quantitatively reduced by miR-181a	western blot 330	PubMed 17382377
Ectopic expression of miR-34a reduced the gene expression of CDK4 	qRT-PCR 850	PubMed 25132913
ID4 the reporter gene expression was significantly reduced by miR-486-5p pre-miR transfection	luciferase assay 894	PubMed 24905922
IGF1R is repressed by the transfected miR-470	luciferase assays 879	PubMed 21967153
IGF1R is repressed by the transfected miR-669b	luciferase assays 959	PubMed 21967153
IGF1R is repressed by the transfected miR-681	luciferase assays 962	PubMed 21967153
Let-7e downregulates CDC25A	Real-time PCR 16	PubMed 20876843
Let-7e downregulates CDC34	Real-time PCR 17	PubMed 20876843
Let-7e downregulates CDK6	Real-time PCR 15	PubMed 20876843
Mgst1 expression is reduced inversely to the up-regulation of miR-34a	in situ hybridization 817	PubMed 21216258
Mgst1 expression is reduced inversely to the up-regulation of miR-34a	Western blot 817	PubMed 21216258
Mgst1 expression is reduced inversely to the up-regulation of miR-93	in situ hybridization 994	PubMed 21216258
Mgst1 expression is reduced inversely to the up-regulation of miR-93	Western blot 994	PubMed 21216258
NAMPT is important for miR-34a effects on reduced hepatic NAD+ levels	western 834	PubMed 23834033
NAMPT is important for miR-34a effects on reduced hepatic NAD+ levels	(q)RT-PCR 834	PubMed 23834033
Nrf2 expression is reduced inversely to the up-regulation of miR-34a	in situ hybridization 818	PubMed 21216258
Nrf2 expression is reduced inversely to the up-regulation of miR-34a	Western blot 818	PubMed 21216258
Nrf2 expression is reduced inversely to the up-regulation of miR-93	in situ hybridization 995	PubMed 21216258
Nrf2 expression is reduced inversely to the up-regulation of miR-93	Western blot 995	PubMed 21216258
Overexpression of miR-7 in young fibroblasts downregulates EGFR mRNA and the protein	Flow cytometry analysis 965	PubMed 24134702
Overexpression of miR-7 in young fibroblasts downregulates EGFR mRNA and the protein	western blot 965	PubMed 24134702
