[s]	label
obo:MIAGO_0000080	miR-29a targeting Ppm1d assumption
obo:MIAGO_0000251	Let-7b targeting CDK6 (human) assumption
obo:MIAGO_0000253	Let-7b targeting CDC25A (human) assumption
obo:MIAGO_0000255	Let-7b targeting CDC34 (human) assumption
obo:MIAGO_0000257	let-7b targeting Tlr7 (mouse) assumption
obo:MIAGO_0000262	Let-7e targeting CDK6 (human) assumption
obo:MIAGO_0000264	Let-7e targeting CDC25A (human) assumption
obo:MIAGO_0000266	Let-7e targeting CDC34 (human) assumption
obo:MIAGO_0000268	miR-1 targeting Igf1 (rat) assumption
obo:MIAGO_0000270	miR-101 targeting MTOR (human) assumption
obo:MIAGO_0000272	miR-101 targeting App (rat) assumption
obo:MIAGO_0000274	miR-106b targeting ULK1 (human) assumption
obo:MIAGO_0000276	miR-106b targeting App (rat) assumption
obo:MIAGO_0000278	miR-10a targeting HOXA1 (human) assumption
obo:MIAGO_0000281	miR-10a targeting MAP3K7 (human) assumption
obo:MIAGO_0000283	miR-10a targeting BTRC (human) assumption
obo:MIAGO_0000287	miR-122 targeting TGFB1 (human) assumption
obo:MIAGO_0000293	miR-124 targeting Bace1 (rat) assumption
obo:MIAGO_0000296	miR-124 targeting SPTLC1 (human) assumption
obo:MIAGO_0000298	miR-124 targeting Sptlc1 (mouse) assumption
obo:MIAGO_0000301	miR-124 targeting Ptbp1 (mouse) assumption
obo:MIAGO_0000303	miR-124 targeting Ptbp2 (mouse) assumption
obo:MIAGO_0000307	miR-1248 targeting CDK2 (human) assumption
obo:MIAGO_0000309	miR-1248 targeting IL6 (human) assumption
obo:MIAGO_0000311	miR-1248 targeting IL8 (human) assumption
obo:MIAGO_0000313	miR-125a targeting Edn1 (mouse) assumption
obo:MIAGO_0000317	miR-125a targeting Edn1 (rat) assumption
obo:MIAGO_0000319	miR-125a-5p targeting Tead4 (mouse) assumption
obo:MIAGO_0000323	miR-125b targeting Edn1 (mouse) assumption
obo:MIAGO_0000327	miR-125b targeting Edn1 (rat) assumption
obo:MIAGO_0000329	miR-126 targeting VCAM1 (human) assumption
obo:MIAGO_0000333	miR-126 targeting SPRED1 (human) assumption
obo:MIAGO_0000336	miR-126 targeting RGS16 (human) assumption
obo:MIAGO_0000338	miR-126 targeting CXCL12 (human) assumption
obo:MIAGO_0000341	miR-126 targeting Rgs16 (mouse) assumption
obo:MIAGO_0000343	miR-126 targeting PIK3R2 (human) assumption
obo:MIAGO_0000345	miR-126 targeting IRS1 (human) assumption
obo:MIAGO_0000347	miR-126 targeting CRK (human) assumption
obo:MIAGO_0000349	miR-126 targeting TOM1 (human) assumption
obo:MIAGO_0000363	miR-126 targeting ZFIN_ZDB-GENE-040426-2338 assumption
obo:MIAGO_0000366	miR-128 targeting UPF1 (human) assumption
obo:MIAGO_0000368	miR-128 targeting CASC3 (human) assumption
obo:MIAGO_0000370	miR-132 targeting Gja1 (rat) assumption
obo:MIAGO_0000372	miR-132 targeting NFE2L2 (human) assumption
obo:MIAGO_0000374	miR-132 targeting HMOX1 (human) assumption
obo:MIAGO_0000376	miR-132 targeting TGFB2 (human) assumption
obo:MIAGO_0000378	miR-132 targeting ROS1 (human) assumption
obo:MIAGO_0000380	miR-132 targeting Foxp2 (mouse) assumption
obo:MIAGO_0000382	miR-132 targeting Sirt1 (mouse) assumption
obo:MIAGO_0000385	miR-135a targeting Bace1 (rat) assumption
obo:MIAGO_0000388	miR-135a targeting Thbs1 (mouse) assumption
obo:MIAGO_0000390	miR-137 targeting Sptlc1 (rat) assumption
obo:MIAGO_0000392	miR-137 targeting SPTLC1 (human) assumption
obo:MIAGO_0000394	miR-137 targeting Sptlc1 (mouse) assumption
obo:MIAGO_0000399	miR-138-5p targeting DCP1B (human) assumption
obo:MIAGO_0000403	miR-141 targeting Bace1 (rat) assumption
obo:MIAGO_0000405	miR-142-5p targeting NFE2L2 (human) assumption
obo:MIAGO_0000408	miR-144 targeting NFE2L2 (human) assumption
obo:MIAGO_0000412	miR-144 targeting SOD1 (human) assumption
obo:MIAGO_0000417	miR-146a targeting NOX4 (human) assumption
obo:MIAGO_0000420	miR-146a targeting TRAF6 (human) assumption
